"ID.Cell.per.Trip","Area","Site","Year","Total.Angler.Hours","Grid.Cell.ID","Barred Sand Bass","Bat Ray","Big Skate","Bigmouth Sole","Black-and-Yellow Rockfish","Black Rockfish","Blacksmith","Blue Rockfish","Bocaccio","Brown Rockfish","Buffalo Sculpin","Bull Sculpin","Cabezon","Calico Rockfish","California Halibut","California Lizardfish","California Scorpionfish","California Sheephead","Canary Rockfish","Chilipepper Rockfish","China Rockfish","Chinook Salmon","Common Thresher Shark","Copper Rockfish","Deacon Rockfish","Fantail Sole","Finescale Triggerfish","Flag Rockfish","Freckled Rockfish","Garibaldi","Giant Sea Bass","Gopher Rockfish","Grass Rockfish","Halfmoon","Honeycomb Rockfish","Jack Mackerel","Jack Smelt","Kelp Bass","Kelp Greenling","Kelp Rockfish","Lingcod","Longfin Sanddab","Mackerel (Family Scombridae)","Northern Anchovy","Ocean Sunfish","Ocean Whitefish","Olive or Yellowtail Rockfish","Olive Rockfish","Opaleye","Pacific  (Chub) Mackerel","Pacific Barracuda","Pacific Bonito","Pacific Halibut","Pacific Sanddab","Pacific Sardine","Painted Greenling","Pelagic Stingray","Petrale Sole","Pile Perch","Quillback Rockfish","Rock Greenling","Rock Sole","Rock Wrasse","Rosy Rockfish","Rubberlip Seaperch","Salema","Sand Sole","Sanddab spp.","Sarcastic Fringehead","Sargo","Scalyhead Sculpin","Senorita","Sharpnose Surfperch","Silversides (Family Atherinopsidae)","Soupfin Shark","Speckled Sanddab","Spiny Dogfish","Squarespot Rockfish","Starry Rockfish","Starry Skate","Striped Seaperch","Tiger Rockfish","Top smelt","Treefish","Tubesnout","UnID Blue Rockfish","Unknown","Unknown rockfish","Vermilion Rockfish","White Croaker","White Seabass","Widow Rockfish","Wolf Eel","Yelloweye Rockfish","Yellowfin Croaker","Yellowtail Jack","Yellowtail Rockfish","Total"
"AIM09082002","Anacapa Island","MPA",2020,5.433333333,"AI02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86069967939151,0,0,0.364494464613401,0,0,0,0,0,0,0,0,0,0,0,0,0.823561379401521,0,0,0.238972735386249,0,0,0,0.853735051649401,0,0,0,0,0,0,0,14.5308453806982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6723086911403
"AIM09082006","Anacapa Island","MPA",2020,4.083333333,"AI06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711492041042069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556892788003149,0,0,0,0.797928091438253,0,0,0,0,0,0,0,7.79704825326518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.86336117374865
"AIM09102005","Anacapa Island","MPA",2020,2.25,"AI05",0,0,0,0,0,0,0,0,0,0.479639050544326,0,0,0,0,0,0,0,0.214092133066573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58552870741202,0,0,0,0,0,0,0,11.8866218479188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1658817389417
"AIM09102008","Anacapa Island","MPA",2020,2.75,"AI08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177576713730866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9001280460367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07770475976757
"AIM09152001","Anacapa Island","MPA",2020,6.216666668,"AI01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72588937765779,0,0,0,0,0,0.293904049698708,0,0,0,0,0,0,0,0,0,0.0748709533347699,0,0,0,0.961109191568926,0,0,0,0,0,0,0,9.70021887095783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.755992443218
"AIM09152009","Anacapa Island","MPA",2020,5.375000001,"AI09",0,0,0,0,0,0,0,0,0,0.139258158953602,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184716490124826,0,0,0,0,0,0,7.47896881418729,0,0,0,0,0,0,0.223168192689189,0,0,0,0,0,0,0,3.52441737349051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5505290294454
"AIM09162003","Anacapa Island","MPA",2020,6.033333333,"AI03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15354658716661,0,0,0,0,0,0.178896251691964,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59612020733419,0,0,0,0,0,0,0,15.9864766309261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9150396771188
"AIM09162004","Anacapa Island","MPA",2020,4.65,"AI04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237045868527086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79131289079607,0,0,0,0,0.00969450678340735,0,0,9.61287552438075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6509287904873
"AIM09171903","Anacapa Island","MPA",2019,5.216666667,"AI03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12843608569635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54655621218602,0,0,0,0,0,0,0,10.8315483576672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5065406555496
"AIM09171904","Anacapa Island","MPA",2019,5.433333333,"AI04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2654198786437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216147236001865,0,0,0,1.58172477171769,0,0,0,0,0,0,0,7.92735067330796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9906425596712
