region,port_complex_group,port_complex,year,category,comm_name_orig,comm_name,sci_name,landings_n
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Other species,"Bass, barred sand",Barred sand bass,Paralabrax nebulifer,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Other species,"Sheephead, California",California sheephead,Semicossyphus pulcher,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Other species,"Fishes, unspecified",Fish,Osteichthyes spp.,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Other species,"Bass, kelp (calico)",Kelp bass,Paralabrax clathratus,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Other species,"Whitefish, ocean",Ocean whitefish,Caulolatilus princeps,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Other species,"Bass, striped",Striped bass,Morone saxatilis,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Other species,"Croaker, white",White croaker (kingfish),Genyonemus lineatus,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Other species,"Seabass, white",White seabass,Atractoscion nobilis,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Rockfish,"Rockfish, blue",Blue rockfish,Sebastes mystinus,12004
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Rockfish,"Scorpionfish, California",California scorpionfish,Scorpaena guttata,0
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Rockfish,"Rockfish, canary",Canary rockfish,Sebastes pinniger,3452
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Rockfish,"Rockfish, copper",Copper rockfish,Sebastes caurinus,2663
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Rockfish,"Rockfish, gopher",Gopher rockfish,Sebastes carnatus,486
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Rockfish,"Rockfishes, unspecified",Rockfish,Sebastes spp.,19336
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Roundfish,Cabezon,Cabezon,Scorpaenichthys marmoratus,623
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Roundfish,"Greenling, kelp",Kelp greenling,Hexagrammos decagrammus,673
Northern,Fort Bragg,Fort Bragg-Eureka-Crescent City,2017,Roundfish,Lingcod,Lingcod,Ophiodon elongatus,6509
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Other species,"Bass, barred sand",Barred sand bass,Paralabrax nebulifer,0
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Other species,"Sheephead, California",California sheephead,Semicossyphus pulcher,0
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Other species,"Fishes, unspecified",Fish,Osteichthyes spp.,15
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Other species,"Bass, kelp (calico)",Kelp bass,Paralabrax clathratus,0
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Other species,"Whitefish, ocean",Ocean whitefish,Caulolatilus princeps,2
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Other species,"Bass, striped",Striped bass,Morone saxatilis,503
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Other species,"Croaker, white",White croaker (kingfish),Genyonemus lineatus,89
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Other species,"Seabass, white",White seabass,Atractoscion nobilis,0
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Rockfish,"Rockfish, blue",Blue rockfish,Sebastes mystinus,35044
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Rockfish,"Scorpionfish, California",California scorpionfish,Scorpaena guttata,0
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Rockfish,"Rockfish, canary",Canary rockfish,Sebastes pinniger,9741
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Rockfish,"Rockfish, copper",Copper rockfish,Sebastes caurinus,10495
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Rockfish,"Rockfish, gopher",Gopher rockfish,Sebastes carnatus,2937
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Rockfish,"Rockfishes, unspecified",Rockfish,Sebastes spp.,64584
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Roundfish,Cabezon,Cabezon,Scorpaenichthys marmoratus,358
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Roundfish,"Greenling, kelp",Kelp greenling,Hexagrammos decagrammus,722
Northern,Bodega Bay,Princeton-Bodega Bay,2017,Roundfish,Lingcod,Lingcod,Ophiodon elongatus,8600
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Other species,"Bass, barred sand",Barred sand bass,Paralabrax nebulifer,0
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Other species,"Sheephead, California",California sheephead,Semicossyphus pulcher,0
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Other species,"Fishes, unspecified",Fish,Osteichthyes spp.,93
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Other species,"Bass, kelp (calico)",Kelp bass,Paralabrax clathratus,0
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Other species,"Whitefish, ocean",Ocean whitefish,Caulolatilus princeps,1
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Other species,"Bass, striped",Striped bass,Morone saxatilis,7889
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Other species,"Croaker, white",White croaker (kingfish),Genyonemus lineatus,18
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Other species,"Seabass, white",White seabass,Atractoscion nobilis,21
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Rockfish,"Rockfish, blue",Blue rockfish,Sebastes mystinus,19669
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Rockfish,"Scorpionfish, California",California scorpionfish,Scorpaena guttata,0
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Rockfish,"Rockfish, canary",Canary rockfish,Sebastes pinniger,7491
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Rockfish,"Rockfish, copper",Copper rockfish,Sebastes caurinus,3574
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Rockfish,"Rockfish, gopher",Gopher rockfish,Sebastes carnatus,274
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Rockfish,"Rockfishes, unspecified",Rockfish,Sebastes spp.,63995
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Roundfish,Cabezon,Cabezon,Scorpaenichthys marmoratus,47
Northern,San Francisco,San Francisco-SF Bay-Delta,2017,Roundfish,"Greenling, kelp",Kelp greenling,Hexagrammos decagrammus,178
