Name,MPA.Group,Region,Study.Region,Full.name,island.mainland,Pairedsmr.smca,Area_sq_mi,Area_km2,Acres,Hectares,Cluster,Cluster.Area_km2,N.latitudeDD,S.latitudeDD,Median Latitude ,Paired.latitude,Nearest Port,Distance.km,Implemented,Time.imp,OffshoreRock_km,Hard_30-100m_km2,PortComplex,Landings_n,anglers_n
South Cape Mendocino SMR,Cape Mendocino,North,NCSR,South Cape Mendocino State Marine Reserve,Mainland,Solitary,9.08,23.517,5810.37,2351.37,Single,23.517,40.435,40.415,40.425,40.425,Eureka,54.49,2012,9,5.78,8.38,Fort Bragg-Eureka-Crescent City,72728.3,11877.65
Ten Mile SMR,Ten Mile,North,NCSR,Ten Mile State Marine Reserve,Mainland,Paired,11.95,30.950358,7646.65,3094.49,Cluster,40.11590116,39.615,39.555,39.585,39.585,Fort Bragg (Noyo River),20.12,2012,9,4.23,1.34,Fort Bragg-Eureka-Crescent City,72728.3,11877.65
Stewarts Point SMCA,,North,NCCSR,Stewarts Point State Marine Conservation Area,Mainland,Paired,1.21,3.133886,758.41,306.92,Cluster,65.3713,38.658783,38.615967,38.637375,38.626058,Bodega Bay,59.61,2010,11,2.06,0.3,Princeton-Bodega Bay,140419,19577.5
Stewarts Point SMR,Stewarts Point,North,NCCSR,Stewarts Point State Marine Reserve,Mainland,Paired,24.03,62.237414,15398.71,6231.64,Single,62.237414,38.675,38.593333,38.634167,38.626058,Bodega Bay,59.61,2010,11,5.05,0.99,Princeton-Bodega Bay,140419,19577.5
Bodega Head SMR,Bodega Head,North,NCCSR,Bodega Head State Marine Reserve,Mainland,Paired,9.34,24.19049,5978.52,2419.42,Cluster,56.073244,38.335,38.3,38.3175,38.278667,Bodega Bay,10.5,2010,11,3.14,3.24,Princeton-Bodega Bay,140419,19577.5
Bodega Head SMCA,NA,North,NCCSR,Bodega Head State Marine Conservation Area,Mainland,Paired,12.31,31.882754,7880.98,3189.32,Cluster,56.073244,38.3,38.222333,38.261167,38.278667,Bodega Bay,10.5,2010,11,0.82,8.53,Princeton-Bodega Bay,140419,19577.5
Ano Nuevo SMR,Ano Nuevo,Central,CCSR,Ano Nuevo State Marine Reserve,Mainland,Paired,11.15,28.878367,7133.66,2886.89,Single,28.878367,37.166667,37.078333,37.1225,37.1225,Santa Cruz,39.86,2007,14,4.11,2.05,Monterey-Moss Landing-Santa Cruz,162289.6,21732.75
Point Lobos SMR,Point Lobos,Central,CCSR,Point Lobos State Marine Reserve,Mainland,Paired,5.5,14.2449,3520.65,1424.76,Cluster,36.1821,36.528333,36.481333,36.504833,36.504833,Monterey ,26.03,2007,14,9.55,3.52,Monterey-Moss Landing-Santa Cruz,162289.6,21732.75
Point Lobos SMCA,NA,Central,CCSR,Point Lobos State Marine Conservation Area,Mainland,Paired,8.47,21.9372,5418.79,2192.91,Cluster,36.1821,36.528333,36.481333,36.504833,36.504833,Monterey ,26.03,2007,14,0,0.46,Monterey-Moss Landing-Santa Cruz,162289.6,21732.75
Piedras Blancas SMR,Piedras Blancas,Central,CCSR,Piedras Blancas State Marine Reserve,Mainland,Paired,10.44,27.039476,6679.99,2703.3,Cluster,49.934966,35.714167,35.6525,35.683334,35.6833335,Morro Bay,60.71,2007,14,11.39,1.38,Avila Beach-Morro Bay,175808.4,20167.95
Piedras Blancas SMCA,NA,Central,CCSR,Piedras Blancas State Marine Conservation Area,Mainland,Paired,8.84,22.89549,5655.57,2288.73,Cluster,49.934966,35.714167,35.6525,35.683334,35.6833335,Morro Bay,60.71,2007,14,11.39,6.01,Avila Beach-Morro Bay,175808.4,20167.95
